pred_id,amphipoda_tot,bivalvia_tot,clupeidae_tot,clupea_harengus_tot,gadus_morhua_tot,gobiidae_tot,mysidae_tot,non_bio_tot,other_crustacea_tot,other_tot,other_pisces_tot,platichthys_flesus_tot,polychaeta_tot,saduria_entomon_tot,sprattus_sprattus_tot,predator_latin_name,species,pred_weight_g,pred_length_cm,year,quarter,month,ices_rect,subdiv,haul_id,smhi_serial_no,X,Y,lat,lon,fle_kg_km2,mcod_kg_km2,scod_kg_km2,date,bottom_depth,group,depth,density_saduria,oxy
2015_4_COD_1,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,Gadus morhua,Cod,603,41,2015,4,11,40G4,25,2015_4_2,1,474.81727343113545,6165.344364084611,55.63333333333333,14.6,330.28125,32054.050000000003,10684.683333333334,2015-11-20,602,large cod,58.349998474121094,153.9318389892578,3.972603003425598
2015_4_COD_101,0,0,0,0,0,0,0,0,0.06,0.07,0,0,0,0,0,Gadus morhua,Cod,317,33,2015,4,11,40G4,25,2015_4_4,3,468.56173965882385,6170.949656128442,55.68333333333333,14.5,9603.516483516483,8277.802197802197,4138.9010989010985,2015-11-20,478,large cod,49.5,2043.716064453125,5.43889570296936
2015_4_COD_103,0,0,0,0,0,0,0,0,0.13999999999999996,0.28,0,0,0.03,0,0,Gadus morhua,Cod,122,23,2015,4,11,40G4,25,2015_4_4,3,468.56173965882385,6170.949656128442,55.68333333333333,14.5,9603.516483516483,8277.802197802197,4138.9010989010985,2015-11-20,478,small cod,49.5,2043.716064453125,5.43889570296936
2015_4_COD_104,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,Gadus morhua,Cod,97,21,2015,4,11,40G4,25,2015_4_4,3,468.56173965882385,6170.949656128442,55.68333333333333,14.5,9603.516483516483,8277.802197802197,4138.9010989010985,2015-11-20,478,small cod,49.5,2043.716064453125,5.43889570296936
2015_4_COD_106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,442,36,2015,4,11,40G4,25,2015_4_4,3,468.56173965882385,6170.949656128442,55.68333333333333,14.5,9603.516483516483,8277.802197802197,4138.9010989010985,2015-11-20,478,large cod,49.5,2043.716064453125,5.43889570296936
2015_4_COD_108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,596,42,2015,4,11,40G4,25,2015_4_4,3,468.56173965882385,6170.949656128442,55.68333333333333,14.5,9603.516483516483,8277.802197802197,4138.9010989010985,2015-11-20,478,large cod,49.5,2043.716064453125,5.43889570296936
2015_4_COD_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,1,5,2015,4,11,40G4,25,2015_4_2,1,474.81727343113545,6165.344364084611,55.63333333333333,14.6,330.28125,32054.050000000003,10684.683333333334,2015-11-20,602,NA,58.349998474121094,153.9318389892578,3.972603003425598
2015_4_COD_111,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,51.099999999999994,Gadus morhua,Cod,465,37,2015,4,11,40G4,25,2015_4_4,3,468.56173965882385,6170.949656128442,55.68333333333333,14.5,9603.516483516483,8277.802197802197,4138.9010989010985,2015-11-20,478,large cod,49.5,2043.716064453125,5.43889570296936
2015_4_COD_113,0,0,0,0,0,0,0.04,0.02,0.06,0.02,0,0,0.42,0,0,Gadus morhua,Cod,101,22,2015,4,11,40G4,25,2015_4_4,3,468.56173965882385,6170.949656128442,55.68333333333333,14.5,9603.516483516483,8277.802197802197,4138.9010989010985,2015-11-20,478,small cod,49.5,2043.716064453125,5.43889570296936
2015_4_COD_114,0.04,0,0,0,0,0,0,0,0.1,0.22999999999999998,0,0,0,0,0,Gadus morhua,Cod,47,17,2015,4,11,40G4,25,2015_4_4,3,468.56173965882385,6170.949656128442,55.68333333333333,14.5,9603.516483516483,8277.802197802197,4138.9010989010985,2015-11-20,478,small cod,49.5,2043.716064453125,5.43889570296936
