amphipoda_tot,bivalvia_tot,clupeidae_tot,clupea_harengus_tot,gadus_morhua_tot,gobiidae_tot,mysidae_tot,non_bio_tot,other_crustacea_tot,other_tot,other_pisces_tot,platichthys_flesus_tot,polychaeta_tot,saduria_entomon_tot,sprattus_sprattus_tot,pred_id,pred_length_cm,pred_weight_g,species,year,quarter,subdiv,ices_rect,X,Y,group,id,n
0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,2015_4_COD_1,41,603,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0.06,0.07,0,0,0,0,0,2015_4_COD_101,33,317,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0.13999999999999993,0.28,0,0,0.03,0,0,2015_4_COD_103,23,122,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Small cod,2015_4_40G4_Small cod,18
0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2015_4_COD_104,21,97,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Small cod,2015_4_40G4_Small cod,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_106,36,442,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_108,42,596,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Large cod,2015_4_40G4_Large cod,48
0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,51.1,2015_4_COD_111,37,465,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0.04,0.02,0.06,0.02,0,0,0.42,0,0,2015_4_COD_113,22,101,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Small cod,2015_4_40G4_Small cod,18
0.04,0,0,0,0,0,0,0,0.1,0.08999999999999998,0,0,0,0,0,2015_4_COD_114,17,47,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Small cod,2015_4_40G4_Small cod,18
0,0,0,0,0,0,0,0,0.6099999999999997,0,0,0,0,0,0,2015_4_COD_12,29,200,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0,0.01999999999999998,0,0,0.16,0,0,2015_4_COD_122,14,22,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Small cod,2015_4_40G4_Small cod,18
0,0,0,0,0,0,0,0,0.12,0,2.48,0,0,0,60.599999999999994,2015_4_COD_125,41,768,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0.27999999999999986,0,0,0,0.14,0.1,0,2015_4_COD_128,19,64,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Small cod,2015_4_40G4_Small cod,18
0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,2015_4_COD_13,30,234,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0.05999999999999999,0.2,0,0,0,0,0,2015_4_COD_134,15,35,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Small cod,2015_4_40G4_Small cod,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_136,43,724,Cod,2015,4,25,40G4,468.56173965882385,6170.949656128442,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0.02,0,0.26,0,0.96,0,0,0,0,2015_4_COD_140,46,1016,Cod,2015,4,25,40G4,460.19525094928827,6172.872959745471,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.15,2015_4_COD_141,49,1034,Cod,2015,4,25,40G4,460.19525094928827,6172.872959745471,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_143,49,830,Cod,2015,4,25,40G4,460.19525094928827,6172.872959745471,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0.30000000000000004,0,0,0,0,0,0,2015_4_COD_15,33,264,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_16,38,422,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0,0,0,8.22,0,0,5.24000000000001,0,0,0,0,0,0,0,0,2015_4_COD_169,35,438,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,0,0,0,0,4.399999999999994,0,0,0,0,0,0,1.02,0,2015_4_COD_170,32,303,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,3.24,0,0,0,1.8900000000000003,0,0,0,0,0,0,0.12,0,2015_4_COD_172,39,483,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0.01,0,0,0,0,0,0.19,0,0,0.01,0.02,0,0,3.47,0,2015_4_COD_173,30,265,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,0,13.26,0,0,1.35,0,0,0,0.85,0,0,0.59,0,2015_4_COD_174,38,428,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0.01,0,0,0,0,0,1.1700000000000002,0,0,0,0,0,0,0,0,2015_4_COD_176,33,294,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
2.350000000000003,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,2015_4_COD_180,27,205,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0.08,0,0,0,0,0.49,1.1599999999999997,0.01,0,0,0,0,0,0.24,0,2015_4_COD_181,28,211,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0.49,0,0,0,0,0,0.21999999999999997,0,0,0,0,0,0,0,0,2015_4_COD_182,19,65,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Small cod,2015_4_41G7_Small cod,9
0,0,0,0,0,0,0.49,0,0,0,0,0,0,0.07,0,2015_4_COD_183,29,219,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,2015_4_COD_185,16,38,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Small cod,2015_4_41G7_Small cod,9
0.02,0,0,0,0,0,0.03,0,0,0,0,0,0,0.07,0,2015_4_COD_187,21,94,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Small cod,2015_4_41G7_Small cod,9
0,0,0,0,0,0,0,0,0.08,0,0,0,0.04,0,0,2015_4_COD_19,25,135,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0.05,0,0,0,0,0.08,1.4600000000000006,0,0,0,0,0,0,0,0,2015_4_COD_190,23,118,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Small cod,2015_4_41G7_Small cod,9
