"","FR_tot","FR_sad","FR_spr","saduria_entomon_tot","tot_prey_biom","common_tot","unique_pred_id","year","quarter","time_period","quarter_fact","pred_weight_g","pred_cm","predator_spec","predcod_density","predfle_density","predcod_density_sc","predfle_density_sc","depth","X","Y","lat","long","ices_rect","cruise"
"1",0.000730994152046784,0,0,0,0.37,0.31,"2006_4_1_2006_12_2_1_BALL_41G8_10_NA_370_NA_1_COD",2006,4,"2006-2020","Quarter 4",506.53,37,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"2",0.000624304443419017,0,0,0,0.69,0.69,"2006_4_1_2006_12_2_1_BALL_41G8_100_NA_480_NA_1_COD",2006,4,"2006-2020","Quarter 4",1105.92,48,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"3",0.0058447719653362,0,0,0,4.62,4.62,"2006_4_1_2006_12_2_1_BALL_41G8_101_NA_430_NA_1_COD",2006,4,"2006-2020","Quarter 4",795.07,43,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"4",0.00275456150676869,0,0,0,2.34,2.34,"2006_4_1_2006_12_2_1_BALL_41G8_102_NA_440_NA_1_COD",2006,4,"2006-2020","Quarter 4",851.84,44,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"5",0.000327122205306929,0,0,0,0.26,0.26,"2006_4_1_2006_12_2_1_BALL_41G8_103_NA_430_NA_1_COD",2006,4,"2006-2020","Quarter 4",795.07,43,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"6",0.00152082792388442,0,0,0,0.41,0.41,"2006_4_1_2006_12_2_1_BALL_41G8_104_NA_300_NA_1_COD",2006,4,"2006-2020","Quarter 4",270,30,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"7",0.00431514007349223,0,0,0,1.28,1.28,"2006_4_1_2006_12_2_1_BALL_41G8_105_NA_310_NA_1_COD",2006,4,"2006-2020","Quarter 4",297.91,31,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"8",0.0010753049497631,0,0,0,0.32,0.32,"2006_4_1_2006_12_2_1_BALL_41G8_106_NA_310_NA_1_COD",2006,4,"2006-2020","Quarter 4",297.91,31,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"9",0.0132411725516322,0,0,0,1.59,1.59,"2006_4_1_2006_12_2_1_BALL_41G8_107_NA_230_NA_1_COD",2006,4,"2006-2020","Quarter 4",121.67,23,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"10",0.00109449106165633,0,0,0,0.24,0.24,"2006_4_1_2006_12_2_1_BALL_41G8_108_NA_280_NA_1_COD",2006,4,"2006-2020","Quarter 4",219.52,28,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"11",0.0104034129181947,0,0,0,2.78,2.78,"2006_4_1_2006_12_2_1_BALL_41G8_109_NA_300_NA_1_COD",2006,4,"2006-2020","Quarter 4",270,30,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"12",0.00325252714339199,0,0,0,1.39,1.39,"2006_4_1_2006_12_2_1_BALL_41G8_11_NA_350_NA_1_COD",2006,4,"2006-2020","Quarter 4",428.75,35,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"13",0.00022051971517389,0,0,0,0.31,0.31,"2006_4_1_2006_12_2_1_BALL_41G8_12_NA_520_NA_1_COD",2006,4,"2006-2020","Quarter 4",1406.08,52,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"14",0.000476218822548961,0,0,0,0.56,0.56,"2006_4_1_2006_12_2_1_BALL_41G8_13_NA_490_NA_1_COD",2006,4,"2006-2020","Quarter 4",1176.49,49,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"15",0.000384147512644856,0,0,0,0.48,0.48,"2006_4_1_2006_12_2_1_BALL_41G8_14_NA_500_NA_1_COD",2006,4,"2006-2020","Quarter 4",1250,50,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"16",0.00130568400166489,0,0,0,2.29,2.29,"2006_4_1_2006_12_2_1_BALL_41G8_15_NA_560_NA_1_COD",2006,4,"2006-2020","Quarter 4",1756.16,56,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"17",0.000136018498515798,0,0,0,0.17,0.17,"2006_4_1_2006_12_2_1_BALL_41G8_16_NA_500_NA_1_COD",2006,4,"2006-2020","Quarter 4",1250,50,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"18",0.000922725637697252,0,0,0,0.59,0.59,"2006_4_1_2006_12_2_1_BALL_41G8_17_NA_400_NA_1_COD",2006,4,"2006-2020","Quarter 4",640,40,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
"19",0.00140137802172136,0,0,0,0.6,0.6,"2006_4_1_2006_12_2_1_BALL_41G8_18_NA_350_NA_1_COD",2006,4,"2006-2020","Quarter 4",428.75,35,"COD",146.48984702999,0.848317206063548,-0.48834799776813,-0.270723227171054,97,716.824541210453,6239.41368696081,56.25,18.5,"41G8","No name"
