"","unique_pred_id","year","quarter","pred_weight_g","pred_cm","predator_spec","depth","X","Y","lat","long","ices_rect","cruise","amphipoda_tot","bivalvia_tot","clupeidae_tot","clupea_harengus_tot","gadus_morhua_tot","gadiformes_tot","gobiidae_tot","mysidae_tot","non_bio_tot","other_crustacea_tot","other_tot","other_pisces_tot","platichthys_flesus_tot","polychaeta_tot","saduria_entomon_tot","sprattus_sprattus_tot"
"1","2015_2_1010_4_FLE",2015,2,236,27,"FLE",64,486.289724067928,6209.44034372101,56.03,14.78,"41G4","INSPIRE",0,4.32,0,0,0,0,0,0,0.19,0,0,2.93,0,0,0,0
"2","2015_2_1010_402_FLE",2015,2,476,30.4,"FLE",64,486.289724067928,6209.44034372101,56.03,14.78,"41G4","INSPIRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2015_2_108_3_FLE",2015,2,334,35,"FLE",0,483.160713422293,6206.11248077192,56,14.73,"41G4","INSPIRE",0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,5.61,0
"4","2015_2_202_403_FLE",2015,2,264,30.2,"FLE",12,485.6369028796,6200.53863133645,55.95,14.77,"40G4","INSPIRE",0,9.59,0,0,0,0,0,0,0.13,0,0,0,0,0,1.02,0
"5","2015_2_203_1_FLE",2015,2,246,29.9,"FLE",42,486.912917357306,6209.43840431764,56.03,14.79,"41G4","INSPIRE",0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0
"6","2015_2_204_2_FLE",2015,2,346,34.6,"FLE",54,485.651713369827,6204.99048781908,55.99,14.77,"40G4","INSPIRE",0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0
"7","2015_2_501_10_FLE",2015,2,305,31.4,"FLE",53,478.024995590897,6177.19837967546,55.74,14.65,"40G4","INSPIRE",0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2015_2_501_60_FLE",2015,2,548,33,"FLE",53,478.024995590897,6177.19837967546,55.74,14.65,"40G4","INSPIRE",0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2015_2_501_8_FLE",2015,2,89,20.2,"FLE",53,478.024995590897,6177.19837967546,55.74,14.65,"40G4","INSPIRE",0,1.17,0,0,0,0,0,0,0,0.01,0.03,0,0,0,0,0
"10","2015_2_501_9_FLE",2015,2,251,29.8,"FLE",53,478.024995590897,6177.19837967546,55.74,14.65,"40G4","INSPIRE",0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2015_2_504_5_FLE",2015,2,325,35.2,"FLE",55,477.996909488526,6171.6338123691,55.69,14.65,"40G4","INSPIRE",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.08,0
"12","2015_2_504_58_FLE",2015,2,319,31.3,"FLE",55,477.996909488526,6171.6338123691,55.69,14.65,"40G4","INSPIRE",0,10.43,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
"13","2015_2_504_6_FLE",2015,2,367,32.8,"FLE",55,477.996909488526,6171.6338123691,55.69,14.65,"40G4","INSPIRE",0,11.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2015_2_504_7_FLE",2015,2,172,25,"FLE",55,477.996909488526,6171.6338123691,55.69,14.65,"40G4","INSPIRE",0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
