Species;Date;Year;Quarter;Month;Index;Appr. status;Seqno;Haul;Validity;Station name;Subsam;Processing;Size;Sex;Subdiv;Rect;ICES;Lat;Long;Bottom depth;Duration;Dist.;Doorspread;Opening;Headropedepth;Swept area;Kg/hour;Tot. no./hour;Lengthcl.;No./hour;Length measure type;DNA sampleID;NumberToSample;SMHI serial no
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;200;55,2;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;210;36,8;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;220;73,6;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;230;18,4;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;240;147,2;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;250;312,8;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;260;717,5;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;270;625,5;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;280;975;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;290;404,7;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;300;478,3;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;310;441,5;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;320;220,8;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;330;202,4;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;340;128,8;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;350;257,6;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;360;55,2;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;370;92;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;380;128,8;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;390;55,2;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;400;110,4;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;410;36,8;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;430;92;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;440;20,4;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;450;8;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;460;14;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;470;10;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;490;10;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;500;4;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;520;6;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;530;2;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;540;2;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;560;2;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;1605,76;5746,7;590;2;Total length TL;;;1
cod;2015-02-26;2015;1;2;OXBH.2015.4;Locked;10049;4;V;11 E STENSHUVUD;0;0;9;;25;4059;40G4;5538,35;1437,37;59,9;30;1,48;83,1;5,9;;0,4560;612,648;2234,3;70;2;Total length TL;;;3
cod;2015-02-26;2015;1;2;OXBH.2015.4;Locked;10049;4;V;11 E STENSHUVUD;0;0;9;;25;4059;40G4;5538,35;1437,37;59,9;30;1,48;83,1;5,9;;0,4560;612,648;2234,3;90;4;Total length TL;;;3
cod;2015-02-26;2015;1;2;OXBH.2015.4;Locked;10049;4;V;11 E STENSHUVUD;0;0;9;;25;4059;40G4;5538,35;1437,37;59,9;30;1,48;83,1;5,9;;0,4560;612,648;2234,3;100;2;Total length TL;;;3
cod;2015-02-26;2015;1;2;OXBH.2015.4;Locked;10049;4;V;11 E STENSHUVUD;0;0;9;;25;4059;40G4;5538,35;1437,37;59,9;30;1,48;83,1;5,9;;0,4560;612,648;2234,3;200;12,7;Total length TL;;;3
cod;2015-02-26;2015;1;2;OXBH.2015.4;Locked;10049;4;V;11 E STENSHUVUD;0;0;9;;25;4059;40G4;5538,35;1437,37;59,9;30;1,48;83,1;5,9;;0,4560;612,648;2234,3;210;33,9;Total length TL;;;3
cod;2015-02-26;2015;1;2;OXBH.2015.4;Locked;10049;4;V;11 E STENSHUVUD;0;0;9;;25;4059;40G4;5538,35;1437,37;59,9;30;1,48;83,1;5,9;;0,4560;612,648;2234,3;220;76,2;Total length TL;;;3
