Species;Date;Year;Quarter;Month;Index;Appr. status;Seqno;Haul;Validity;Station name;Subsam;Processing;Size;Sex;Subdiv;Rect;ICES;Lat;Long;Bottom depth;Duration;Dist.;Doorspread;Opening;Headropedepth;Swept area;Kg/hour;Tot. no./hour;Lengthcl.;No./hour;Length measure type;DNA sampleID;NumberToSample;SMHI serial no
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;180;7,5;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;210;14,9;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;220;111,8;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;230;201,3;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;240;119,3;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;250;141,7;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;260;171,5;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;270;156,6;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;280;104,4;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;290;111,8;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;300;74,6;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;310;89,5;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;320;111,8;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;330;37,3;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;340;59,7;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;350;14,9;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;360;7,5;Total length TL;;;1
flounder;2015-02-26;2015;1;2;OXBH.2015.2;Locked;10048;2;V;SLAGGENABBEN;0;0;9;;25;3959;39G4;5528,9;1436,28;60,3;30;1,49;87,5;5,6;;0,4830;343;1543,5;380;7,5;Total length TL;;;1
