Species;Date;Year;Quarter;Month;Index;Appr. status;Seqno;Haul;Validity;Station name;Subsam;Processing;Size;Sex;Subdiv;Rect;ICES;Lat;Long;Bottom depth;Duration;Dist.;Doorspread;Opening;Headropedepth;Swept area;Kg/hour;Tot. no./hour;Lengthcl.;No./hour;Length measure type;DNA sampleID;NumberToSample;SMHI serial no
cod;2023-02-21;2023;1;2;SEYB.2023.51;No;10095;51;V;4 NW BYXELKROK;0;0;9;;27;4361;43G6;5721,853;1654,988;44,8;30;1,52;61,3;6,7;;0,3450;,004;2;70;2;Total length TL;;;180
cod;2023-02-21;2023;1;2;SEYB.2023.52;No;10096;52;V;5 N BYXELKROK;0;0;9;;27;4362;43G7;5725,019;1701,337;56,5;30;1,52;66,62;6,2;;0,3750;,332;2;270;2;Total length TL;;;
cod;2023-02-21;2023;1;2;SEYB.2023.53;No;10097;53;N;9 SE KUNGSGRUNDET;;;;;27;4462;44G7;5736,609;1706,457;83,7;30;1,5;;;;;;;;;;;;182
cod;2023-02-21;2023;1;2;SEYB.2023.54;No;10098;54;V;11 ESE ÖLANDS NORRA UDDE;;;;;27;4362;43G7;5720,674;1725,198;73,8;22;1,1;;;;;;;;;;;;
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;100;3;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;110;3;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;120;12;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;140;9;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;150;50,3;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;160;56,3;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;170;29,3;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;180;237,7;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;190;381,4;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;200;557,4;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;210;1114,7;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;220;909,4;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;230;909,4;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;240;762,7;Total length TL;;;184
cod;2023-02-22;2023;1;2;SEYB.2023.55;No;10099;55;V;1 S TENERIFFA;0;0;9;;25;4061;40G6;5546,032;1639,541;56,4;20;,99;69,16;6,3;;0,3800;771,336;6619,7;250;381,4;Total length TL;;;184
